time	leftRight	frontBack	up	angular
2020-06-30 07:29:35.650	0.0	0.0	0.0	0.25
2020-06-30 07:29:35.700	0.0	0.0	0.0	0.25
2020-06-30 07:29:35.750	0.0	0.0	0.0	0.25
2020-06-30 07:29:35.800	0.0	0.0	0.0	0.25
2020-06-30 07:29:35.850	0.0	0.0	0.0	0.25
2020-06-30 07:29:35.900	0.0	0.0	0.0	0.25
2020-06-30 07:29:35.950	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.000	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.050	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.100	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.150	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.200	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.250	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.300	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.350	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.400	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.450	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.500	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.550	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.600	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.650	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.700	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.750	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.800	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.850	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.900	0.0	0.0	0.0	0.25
2020-06-30 07:29:36.950	0.0	0.0	0.0	0.25
2020-06-30 07:29:37.000	0.0	0.0	0.0	0.25
2020-06-30 07:29:37.050	0.0	0.0	0.0	0.25
2020-06-30 07:29:37.100	0.0	0.0	0.0	0.25
2020-06-30 07:29:37.150	0.0	0.0	0.0	0.25
2020-06-30 07:29:37.200	0.0	0.0	0.0	0.25
2020-06-30 07:29:37.250	0.0	0.0	0.0	0.25
