time	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:00.000	0.0	-0.25	0.0	0.0	7	83	-76	6	-90	98469	531	0.00537707656621933	-47.9677963256836	0.0	0.0	-1.0	-14.0	-99321.0	721	-25.68644905090332	14.866025924682615	0.0	2004.0	2096.0	2556.0	178	177	176	183	1521058856811	both
1970-01-01 00:00:00.065	0.0	-0.25	0.0	0.0	7	83	-80	0	-94	98475	531	0.005500736646354199	-47.05525207519531	0.0	0.0	78.0	-140.0	-99409.0	722	-22.3361759185791	13.956254005432127	0.0	1996.0	2052.0	2552.0	176	170	185	185	1521090921661	both
1970-01-01 00:00:00.095	0.0	-0.25	0.0	0.0	7	83	-72	2	-100	98489	530	0.005983766168355942	-44.97467422485352	0.0	0.0	-159.0	-346.0	-99391.0	724	-15.992612838745115	24.53118896484375	0.0	1988.0	2076.0	2552.0	179	165	187	182	1521104952087	both
1970-01-01 00:00:00.189	0.0	-0.25	0.0	0.0	7	83	-71	-1	-89	98478	531	0.006394505500793457	-44.26980209350586	0.0	0.0	-2278.0	-905.0	-99446.0	726	-4.626230239868164	20.935237884521484	0.0	2032.0	2044.0	2564.0	179	172	180	184	1521686046813	both
1970-01-01 00:00:00.220	0.0	-0.25	0.0	0.0	7	83	-77	-3	-95	98486	531	0.006463313475251198	-45.45178604125977	0.0	0.0	-3169.0	-970.0	-99406.0	726	9.697206497192383	15.24989128112793	0.0	2100.0	2044.0	2556.0	181	173	181	181	1521701076873	both
1970-01-01 00:00:00.285	0.0	-0.25	0.0	0.0	7	83	-79	-3	-91	98469	531	0.006759619805961847	-41.82766723632813	0.0	0.0	-4850.0	-972.0	-99384.0	727	31.540361404418945	8.557819366455076	0.0	2060.0	2028.0	2560.0	182	174	180	182	1521733142181	both
1970-01-01 00:00:00.316	0.0	-0.25	0.0	0.0	7	83	-75	-11	-95	98495	531	0.006950801704078914	-41.62017059326172	0.0	0.0	-5472.0	-977.0	-99395.0	728	51.22620391845703	7.361525058746338	0.0	2120.0	2052.0	2548.0	181	176	179	183	1521748172485	both
1970-01-01 00:00:00.380	0.0	-0.25	0.0	0.0	7	83	-82	-18	-92	98478	531	0.0072533716447651395	-41.00912094116211	0.0	0.0	-6589.0	-942.0	-99422.0	729	99.80426788330078	1.30102801322937	0.0	2096.0	2044.0	2552.0	180	176	180	184	1521779237426	both
1970-01-01 00:00:00.445	0.0	-0.25	0.0	0.0	7	83	-72	-16	-92	98472	531	0.007717486936599015	-37.59817123413086	0.0	0.0	-7178.0	-932.0	-99411.0	730	150.1459503173828	0.5578958988189697	0.0	2056.0	2036.0	2556.0	180	173	183	182	1521811302642	both
1970-01-01 00:00:00.475	0.0	-0.25	0.0	0.0	7	83	-72	-24	-92	98498	531	0.007932827807962894	-38.04644012451172	0.0	0.0	-7353.0	-900.0	-99456.0	730	178.51443481445312	-0.8334827423095703	0.0	2096.0	2060.0	2552.0	179	177	180	187	1521826332794	both
1970-01-01 00:00:00.540	0.0	-0.25	0.0	0.0	7	83	-78	-16	-88	98475	530	0.008143494836986065	-39.99837493896485	0.0	0.0	-7511.0	-880.0	-99530.0	731	265.98617553710943	-11.315088272094727	0.0	2072.0	2056.0	2552.0	177	175	182	186	1521858397735	both
1970-01-01 00:00:00.636	0.0	-0.25	0.0	0.0	7	83	-77	-15	-91	98489	531	0.00921019446104765	-40.40832901000977	0.0	0.0	-7354.0	-859.0	-99532.0	735	361.6659851074219	-9.907031059265137	0.0	2076.0	2036.0	2552.0	175	171	182	187	1521904493469	both
