	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:00.000	0.0	-0.25	0.0	0.0	7.0	83.0	-76.0	6.0	-90.0	98469.0	531.0	0.00537707656621933	-47.9677963256836	0.0	0.0	-1.0	-14.0	-99321.0	721.0	-25.68644905090332	14.866025924682615	0.0	2004.0	2096.0	2556.0	178.0	177.0	176.0	183.0	1521058856811.0	both
1970-01-01 00:00:00.050																															both
1970-01-01 00:00:00.100																															both
1970-01-01 00:00:00.150																															both
1970-01-01 00:00:00.200																															both
1970-01-01 00:00:00.250																															both
1970-01-01 00:00:00.300																															both
1970-01-01 00:00:00.350																															both
1970-01-01 00:00:00.400																															both
1970-01-01 00:00:00.450																															both
1970-01-01 00:00:00.500																															both
1970-01-01 00:00:00.550																															both
1970-01-01 00:00:00.600																															both
1970-01-01 00:00:00.650																															both
1970-01-01 00:00:00.700	0.0	-0.25	0.0	0.0	7.0	83.0	-74.0	-18.0	-92.0	98466.0	530.0	0.009259765967726707	-40.5053939819336	0.0	0.0	-7216.0	-883.0	-99561.0	735.0	397.3047180175781	-12.399019241333008	0.0	2096.0	2064.0	2568.0	174.0	171.0	183.0	188.0	1521922528411.0	both
1970-01-01 00:00:00.750																															both
1970-01-01 00:00:00.800																															both
1970-01-01 00:00:00.850																															both
1970-01-01 00:00:00.900																															both
1970-01-01 00:00:00.950																															both
1970-01-01 00:00:01.000																															both
1970-01-01 00:00:01.050																															both
1970-01-01 00:00:01.100																															both
1970-01-01 00:00:01.150																															both
1970-01-01 00:00:01.200																															both
1970-01-01 00:00:01.250																															both
1970-01-01 00:00:01.300																															both
1970-01-01 00:00:01.350																															both
1970-01-01 00:00:01.400																															both
1970-01-01 00:00:01.450																															both
1970-01-01 00:00:01.500																															both
1970-01-01 00:00:01.550																															both
1970-01-01 00:00:01.600																															both
1970-01-01 00:00:01.650																															both
1970-01-01 00:00:01.700																															both
1970-01-01 00:00:01.750																															both
1970-01-01 00:00:01.800																															both
1970-01-01 00:00:01.850																															both
1970-01-01 00:00:01.900																															both
1970-01-01 00:00:01.950																															both
1970-01-01 00:00:02.000																															both
1970-01-01 00:00:02.050																															both
1970-01-01 00:00:02.100																															both
1970-01-01 00:00:02.150																															both
1970-01-01 00:00:02.200																															both
1970-01-01 00:00:02.250																															both
1970-01-01 00:00:02.300																															both
1970-01-01 00:00:02.350																															both
1970-01-01 00:00:02.400																															both
1970-01-01 00:00:02.450																															both
1970-01-01 00:00:02.500																															both
1970-01-01 00:00:02.550																															both
1970-01-01 00:00:02.600																															both
1970-01-01 00:00:02.650																															both
1970-01-01 00:00:02.700																															both
1970-01-01 00:00:02.750																															both
1970-01-01 00:00:02.800																															both
1970-01-01 00:00:02.850																															both
